t,totalmass,massrate
15.61,25.0266539592616,0
15.62,25.0266539592616,0
15.63,25.0266539592616,0
15.64,25.0266539592616,0
15.65,25.0266539592616,0
15.66,25.0266539592616,0
15.67,25.0266539592616,0
15.68,25.0316805075074,0.502654824574134
15.69,25.045125920879,1.34454133715781
15.7,25.045125920879,0
15.71,25.0474799003369,0.235397945793287
15.72,25.0521878592528,0.470795891586573
15.73,25.0682676664537,1.6079807200978
15.74,25.0729756253696,0.470795891586573
15.75,25.1143878584549,4.14122330853043
15.76,25.1365332114771,2.21453530222112
15.77,25.1550881429753,1.85549314981768
15.78,25.1980212621143,4.29331191390549
15.79,25.2262725258157,2.82512637013752
15.8,25.2523688345614,2.60963087457184
15.81,25.2815761259574,2.92072913960098
15.82,25.3243102205942,4.27340946367788
15.83,25.3608973795406,3.65871589463547
15.84,25.4380618887169,7.71645091762903
15.85,25.4879371216971,4.98752329802462
15.86,25.5461952850098,5.825816331267
15.87,25.6072852866425,6.10900016326831
15.88,25.7119389661099,10.465367946746
15.89,25.8103722602884,9.84332941785363
15.9,25.8907669164943,8.03946562058525
15.91,25.9903574527693,9.95905362749691
15.92,26.0456601330527,5.53026802833911
15.93,26.0686829739532,2.30228409005063
15.94,26.072712469493,0.402949553984665
15.95,26.072712469493,0
15.96,26.072712469493,0
15.97,26.072712469493,0
15.98,26.072712469493,0
15.99,26.072712469493,0
