time,Fx,Fy,Fz
3.17,3.26082590076485,-22.5041078940827,-167.187651672224
3.18,3.40615616831559,-24.0939160081081,-171.412300912124
3.19,3.43744805204726,-22.9500052325814,-165.47411948107
3.2,2.554816047428,-24.4420722364249,-166.615699802755
3.21,3.85801009569217,-23.237269052706,-166.581756314935
3.22,2.33719562642618,-23.1122957519306,-173.85132536116
3.23,4.46031696950976,-23.6319983246623,-167.964757312444
3.24,2.56868338399632,-23.5481328966249,-174.402205356591
3.25,3.52244369619411,-20.1489264310277,-151.37950533453
3.26,3.21727200887082,-18.9560488343169,-138.595191417839
3.27,4.46429340672221,-25.5196118191102,-170.047454564651
3.28,2.10468164536225,-25.0027360206292,-181.708581969184
3.29,3.14742120076669,-23.3477352241821,-182.008191607818
3.3,2.8310988182456,-24.7939664843428,-181.898861291012
3.31,4.090928865822,-21.9606271711363,-171.054207329771
3.32,2.92973816402667,-20.9527784820211,-168.491595382953
3.33,3.21961340416425,-23.8754435117086,-161.923946814135
3.34,2.67216889731478,-23.4226896579616,-170.741977789324
3.35,2.60803129208649,-23.3746714183063,-168.13364270735
3.36,4.47587599040931,-23.2214690310516,-173.301162368496
3.37,2.21576405633364,-23.0772889801216,-175.677864509983
3.38,3.29186210223697,-20.8622723031754,-172.722941349107
3.39,3.10608487306731,-22.9944291415701,-172.169568784278
3.4,3.40215845382692,-21.9548829958653,-161.773811539085
3.41,3.08211358451672,-22.7419851822702,-170.265261552428
3.42,3.04307864377135,-23.1510041872331,-171.305874104969
3.43,3.70320444952438,-22.3202812411707,-174.919920783671
3.44,2.25362096452516,-23.2520295859137,-174.292095347979
3.45,3.80781355130417,-22.2988575148879,-173.944422161178
3.46,2.75676868923511,-21.7131122152488,-171.359860529253
3.47,2.45712120815233,-23.6587841106253,-169.600460049693
3.48,4.21819577729703,-20.2825962697175,-158.953488986791
3.49,3.13501426998944,-23.0713003878056,-170.408643101183
3.5,2.73490213161304,-23.9261808386165,-178.935858186511
3.51,4.21624841298353,-21.4349057881705,-178.852489130909
3.52,2.68524269433903,-22.5563535877861,-173.001094313518
3.53,3.27123301288932,-20.6740448015637,-157.612429674466
3.54,2.47018776532309,-18.6317711482432,-144.582800434039
3.55,3.57786684650439,-22.5713211910029,-172.667745731078
3.56,3.15999718581419,-24.2566166583059,-179.815357847883
3.57,3.19508348154368,-24.715617194105,-188.900012048933
3.58,3.82508074115826,-23.7474579934997,-194.648892916568
3.59,3.64957080255238,-20.9864509737375,-188.298772447214
3.6,3.82000593804897,-20.8502221572781,-184.498757234185
3.61,3.41725989205458,-22.3735996114234,-178.715643480235
3.62,2.33480905480334,-22.477789238736,-181.364195399335
3.63,2.83728302318614,-22.4867872351211,-179.569658025455
3.64,5.31278051836924,-21.6477328918906,-188.005493233024
3.65,3.36835833603395,-21.7628621106171,-193.842321316111
3.66,4.99664430453232,-21.3179419795168,-191.876100145727
3.67,2.95381480848479,-21.1116571105799,-198.266992659444
3.68,3.7823142067606,-18.5158599018117,-194.437178932588
3.69,4.48876480503341,-21.3645043835973,-206.353228949147
3.7,3.66277731565951,-19.659107197049,-197.735794739454
3.71,3.51309372187483,-19.5606267726288,-206.728933849351
