time,Fx,Fy,Fz,Mx,My,Mz
12.23,-33.0343331584451,1344.90652834891,66.9156088284621,-60.9313013822267,-1.54544762485213,25.9221101084955
12.24,-37.4956741181006,1213.98253658861,51.7301377586597,-57.50657335422,-2.36173569225068,16.4672827406772
12.25,-45.0711767105236,904.973772270701,29.6933975119807,-47.7748771241383,-8.14750445988649,2.22466478181164
12.26,-35.6204468835943,725.58627214498,46.1491734408863,-41.1278980903385,-7.26267293285468,-0.955172337826416
12.27,-30.9638272323962,541.749965857074,52.8044272275323,-37.9182998245967,-4.91379782986998,1.21235530058892
12.28,-11.4415965005341,460.472121429061,0.116243367267363,-33.0471292245988,-2.96138251363543,-5.83217101643989
12.29,-10.9982441032836,385.142792128886,-55.2457451585933,-27.5439015416455,-1.62158452992381,-7.35762576624699
12.3,-7.02383402829031,351.190971311013,-98.0617967296045,-24.6746541309846,-2.15859023478983,-6.72513923545124
12.31,5.39171821786617,256.553200158002,-149.179305301344,-16.6576389146569,-0.579988300534164,-0.0271629897356941
12.32,2.46201723519289,251.787580011634,-144.423829725355,-16.3085454441713,0.437947991741897,0.753431028217453
12.33,-5.06017153249045,265.472608286159,-145.234229307372,-18.0473557528487,-0.450285447604829,1.79126989087916
12.34,-10.2032524786977,331.612141504588,-158.813924221909,-22.6225679155737,-1.42437405928625,2.52376708025237
12.35,-10.4321060872807,369.517632742124,-190.471995469284,-22.3997711555613,-0.518036713589872,4.20604108520607
12.36,-11.2356326091896,407.302114699126,-233.941527346997,-22.1329195365407,-0.130425058296618,5.39113651194861
12.37,-12.6617472276561,389.960278199365,-262.314900039188,-18.2347813161874,0.6513059381049,3.5286983588026
12.38,-12.8405809112556,395.579540515582,-233.60918054028,-18.5110474921359,0.622978798824089,4.73025654289977
12.39,-7.17420689616585,469.644981224738,-228.748548662983,-22.9984564437258,1.16036078550206,5.17628417690059
12.4,-3.90286684092571,517.557832239184,-243.784337220283,-24.9389041034925,2.71846907975731,5.78210207294851
12.41,-6.00656386179196,520.643506882032,-220.439702746527,-25.6365678055782,0.812516394845921,5.27234081198038
12.42,-5.38092880085749,521.27743501965,-224.341691812021,-24.1927957337898,1.99574222882904,5.92896759991883
12.43,-12.8413895024333,522.96792794094,-153.427525551395,-27.9219784725809,1.6507259442385,7.05823799126686
12.44,-11.9168783671665,565.970992470891,-68.8191222461553,-37.6555062859188,-1.76978578127168,6.74728662325881
12.45,-11.2874895417144,616.775822230659,-71.7256047181283,-40.1078713567366,-0.539426348852834,9.75177346349744
12.46,-7.85658674020942,694.867510884245,-75.5993548142605,-44.2484287173949,1.53525638382385,11.5374946331217
12.47,-11.864132978243,712.07452072184,-57.3511671206623,-45.8421039099808,-0.120746848356416,7.95615891415363
12.48,-15.3467694004005,693.80190031194,-19.3067754280652,-44.1988422808609,-0.199020226826595,9.87486273251302
12.49,-24.2030959758145,715.487291936866,14.4117628778682,-45.020610941436,-0.123913604139328,9.21786746110991
12.5,-19.6266909978852,742.289536309758,20.5939295009396,-46.3024587484427,0.161182574912991,9.64507266294392
12.51,-21.2821456128215,798.581783985254,27.4872090874544,-49.3906134636558,-0.111937710401916,11.8964845118512
12.52,-20.5273853048743,813.820114109208,55.5861894517869,-52.6122342957114,-2.66865567706897,9.92902395617844
12.53,-20.4175652048274,856.837685383644,70.3476248427095,-55.4234200365286,-2.24244343978255,12.2768619309522
12.54,-18.695486871036,942.245144930573,67.4328830046248,-57.9589802538181,0.168112606132538,15.3581967276897
12.55,-20.8357111587834,1042.95761579986,110.744930515805,-63.8525684906716,1.08863608265741,17.3666975631242
12.56,-35.6687291804957,1234.92440990211,149.228587927476,-73.215548341756,2.72898030594185,18.6388034536289
12.57,-35.9404691533933,1253.14376980585,66.0000437855111,-64.9553802575261,8.36347371509084,13.1355602895763
12.58,-12.0451473631739,1267.66452463663,5.93356668073469,-56.0226163240403,9.58499544648335,18.4612586691279
12.59,-1.84431296027324,1263.87099196556,13.3448056277736,-54.9170267642938,12.0712565569469,18.9806815236681
